arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775038840340207396,1775038840340207396,1775038840349828173,0.000000,9.620777,9.620777,200
1775038840493677423,1775038840493677423,1775038840500658364,0.000000,6.980941,6.980941,200
1775038840617333270,1775038840617333270,1775038840624863145,0.000000,7.529875,7.529875,200
1775038840741125960,1775038840741125960,1775038840747995491,0.000000,6.869531,6.869531,200
1775038840866077106,1775038840866077106,1775038840874416328,0.000000,8.339222,8.339222,200
1775038840997197016,1775038840997197016,1775038841004009793,0.000000,6.812777,6.812777,200
1775038841131918486,1775038841131918486,1775038841138631886,0.000000,6.713400,6.713400,200
1775038841256087390,1775038841256087390,1775038841262694803,0.000000,6.607413,6.607413,200
1775038841397382856,1775038841397382856,1775038841404281906,0.000000,6.899050,6.899050,200
1775038841522167519,1775038841522167519,1775038841528373536,0.000000,6.206017,6.206017,200
1775038841664941161,1775038841664941161,1775038841671107269,0.000000,6.166108,6.166108,200
1775038841791211405,1775038841791211405,1775038841798999074,0.000000,7.787669,7.787669,200
1775038841915215206,1775038841915215206,1775038841925959284,0.000000,10.744078,10.744078,200
1775038842044056015,1775038842044056015,1775038842051292933,0.000000,7.236918,7.236918,200
1775038842178489506,1775038842178489506,1775038842186630283,0.000000,8.140777,8.140777,200
1775038842320365956,1775038842320365956,1775038842330373067,0.000000,10.007111,10.007111,200
1775038842448978638,1775038842448978638,1775038842455688460,0.000000,6.709822,6.709822,200
1775038842578925378,1775038842578925378,1775038842585602160,0.000000,6.676782,6.676782,200
1775038842720296001,1775038842720296001,1775038842726986741,0.000000,6.690740,6.690740,200
1775038842849319262,1775038842849319262,1775038842856364664,0.000000,7.045402,7.045402,200
1775038842987018813,1775038842987018813,1775038843001709187,0.000000,14.690374,14.690374,200
1775038843137141474,1775038843137141474,1775038843145535845,0.000000,8.394371,8.394371,200
1775038843263028034,1775038843263028034,1775038843272142817,0.000000,9.114783,9.114783,200
1775038843385208417,1775038843385208417,1775038843391765401,0.000000,6.556984,6.556984,200
1775038843520300875,1775038843520300875,1775038843526960493,0.000000,6.659618,6.659618,200
1775038843642510617,1775038843642510617,1775038843661559451,0.000000,19.048834,19.048834,200
1775038843767035084,1775038843767035084,1775038843775661372,0.000000,8.626288,8.626288,200
1775038843892660454,1775038843892660454,1775038843899050836,0.000000,6.390382,6.390382,200
1775038844017661124,1775038844017661124,1775038844024266373,0.000000,6.605249,6.605249,200
1775038844144926041,1775038844144926041,1775038844151761324,0.000000,6.835283,6.835283,200
1775038844266806619,1775038844266806619,1775038844274043537,0.000000,7.236918,7.236918,200
1775038844398527814,1775038844398527814,1775038844405026889,0.000000,6.499075,6.499075,200
1775038844538683375,1775038844538683375,1775038844547676312,0.000000,8.992937,8.992937,200
1775038844662290252,1775038844662290252,1775038844669816541,0.000000,7.526289,7.526289,200
1775038844785403997,1775038844785403997,1775038844791956061,0.000000,6.552064,6.552064,200
1775038844910231414,1775038844910231414,1775038844927124310,0.000000,16.892896,16.892896,200
1775038845033283038,1775038845033283038,1775038845040274144,0.000000,6.991106,6.991106,200
1775038845160229091,1775038845160229091,1775038845166485290,0.000000,6.256199,6.256199,200
1775038845439310568,1775038845439310568,1775038845445934192,0.000000,6.623624,6.623624,200
1775038845725785038,1775038845725785038,1775038845735640204,0.000000,9.855166,9.855166,200
1775038845778930364,1775038845778930364,1775038845796244976,0.000000,17.314612,17.314612,200
1775038845839498536,1775038845839498536,1775038845846365543,0.000000,6.867007,6.867007,200
1775038845858481544,1775038845858481544,1775038845867057336,0.000000,8.575792,8.575792,200
1775038845962711730,1775038845962711730,1775038845969421552,0.000000,6.709822,6.709822,200
1775038846013260855,1775038846013260855,1775038846019582737,0.000000,6.321882,6.321882,200
1775038846031360874,1775038846031360874,1775038846048253770,0.000000,16.892896,16.892896,200
1775038846085173803,1775038846085173803,1775038846091402094,0.000000,6.228291,6.228291,200
1775038846137584477,1775038846137584477,1775038846146716840,0.000000,9.132363,9.132363,200
1775038846196124483,1775038846196124483,1775038846204547769,0.000000,8.423286,8.423286,200
1775038846221907624,1775038846221907624,1775038846229018057,0.000000,7.110433,7.110433,200
1775038846569755040,1775038846569755040,1775038846576049958,0.000000,6.294918,6.294918,200
1775038846729307054,1775038846729307054,1775038846735513071,0.000000,6.206017,6.206017,200
1775038846855661636,1775038846855661636,1775038846865584647,0.000000,9.923011,9.923011,200
1775038846956279824,1775038846956279824,1775038846963276063,0.000000,6.996239,6.996239,200
1775038846991632542,1775038846991632542,1775038847000264636,0.000000,8.632094,8.632094,200
1775038847130230485,1775038847130230485,1775038847137324987,0.000000,7.094502,7.094502,200
1775038847221458923,1775038847221458923,1775038847229275664,0.000000,7.816741,7.816741,200
1775038847339856128,1775038847339856128,1775038847347133132,0.000000,7.277004,7.277004,200
1775038847405301183,1775038847405301183,1775038847417351209,0.000000,12.050026,12.050026,200
1775038847453843855,1775038847453843855,1775038847460752262,0.000000,6.908407,6.908407,200
1775038847633184127,1775038847633184127,1775038847652645214,0.000000,19.461087,19.461087,200
1775038847665541296,1775038847665541296,1775038847673386772,0.000000,7.845476,7.845476,200
1775038847690810826,1775038847690810826,1775038847704506944,0.000000,13.696118,13.696118,200
1775038847716333999,1775038847716333999,1775038847723503210,0.000000,7.169211,7.169211,200
1775038847742969585,1775038847742969585,1775038847751963062,0.000000,8.993477,8.993477,200
1775038847958916632,1775038847958916632,1775038847965434217,0.000000,6.517585,6.517585,200
1775038848019594882,1775038848019594882,1775038848026124795,0.000000,6.529913,6.529913,200
1775038848089612653,1775038848089612653,1775038848096344889,0.000000,6.732236,6.732236,200
1775038848197982940,1775038848197982940,1775038848204741013,0.000000,6.758073,6.758073,200
